device	test_i	geometric_mean	geometric_std
NVIDIA A100-SXM4-80GB	test1	5197.852384	2.912908
NVIDIA A100 80GB PCIe	test2	4601.448007	2.873414
NVIDIA A100 80GB PCIe	test3	4563.697629	2.925242
NVIDIA A100-SXM4-80GB	test4	5346.694800	2.781211
NVIDIA A100 80GB PCIe	test5	4533.864030	2.921473
NVIDIA A100 80GB PCIe	test6	4543.233978	2.911670
NVIDIA H100 80GB HBM3	test1	1428.847525	1.982245
NVIDIA H100 80GB HBM3	test2	1462.743590	1.948976
NVIDIA H100 80GB HBM3	test3	1453.910754	1.965171
NVIDIA H100 80GB HBM3	test4	1416.284892	1.982654
NVIDIA H100 NVL	test5	1448.380625	2.193243
NVIDIA H100 80GB HBM3	test6	1472.200501	1.951138
NVIDIA B200	test1	1077.117088	1.856607
NVIDIA B200	test2	929.240592	2.064988
NVIDIA B200	test3	1073.572810	1.847362
